timestamp,service,cpu_usage,memory_usage,disk_io,network_traffic,request_rate,latency_ms,error_rate,db_connections,restart_count,failure_type
2026-01-01 00:00:00,api-gateway,38.45,56.94,65.79,527.25,652.35,149.73,0.19,26.55,0,normal
2026-01-01 00:00:00,user-service,26.68,48.42,59.5,338.36,369.19,109.05,0.07,29.61,0,normal
2026-01-01 00:00:00,payment-service,45.26,57.28,50.68,471.35,454.55,148.86,0.19,50.89,0,normal
2026-01-01 00:00:00,notification-service,24.49,43.45,43.64,245.48,251.51,96.57,0.21,24.13,0,normal
2026-01-01 00:00:00,database,44.77,67.47,36.72,830.68,699.33,81.78,0.1,67.62,0,normal
2026-01-01 00:05:00,api-gateway,39.87,57.65,44.62,602.25,638.86,124.11,0.24,22.35,0,normal
2026-01-01 00:05:00,user-service,21.95,50.97,60.31,397.5,358.59,110.49,0.23,30.14,0,normal
2026-01-01 00:05:00,payment-service,43.17,58.13,45.9,486.05,522.59,149.85,0.19,50.76,0,normal
2026-01-01 00:05:00,notification-service,29.42,44.78,53.61,328.36,296.25,114.85,0.17,23.49,0,normal
2026-01-01 00:05:00,database,62.49,62.24,60.42,779.57,776.9,91.55,0.13,67.59,0,normal
2026-01-01 00:10:00,api-gateway,40.43,59.43,59.15,695.44,620.11,128.6,0.17,24.46,0,normal
2026-01-01 00:10:00,user-service,34.49,50.53,46.32,347.77,358.22,111.24,0.19,34.18,0,normal
2026-01-01 00:10:00,payment-service,45.04,60.02,46.57,589.01,500.36,161.95,0.18,42.9,0,normal
2026-01-01 00:10:00,notification-service,24.86,38.93,33.26,242.93,263.95,93.77,0.2,25.81,0,normal
2026-01-01 00:10:00,database,58.85,64.42,61.43,629.23,703.01,97.08,0.14,66.93,0,normal
2026-01-01 00:15:00,api-gateway,35.79,59.15,50.77,752.87,663.84,148.8,0.16,31.55,0,normal
2026-01-01 00:15:00,user-service,26.73,50.3,39.38,350.08,325.24,107.97,0.2,26.85,0,normal
2026-01-01 00:15:00,payment-service,46.48,59.52,55.56,538.99,506.58,160.59,0.18,44.58,0,normal
2026-01-01 00:15:00,notification-service,29.23,40.18,37.63,310.27,284.55,106.07,0.24,22.89,0,normal
2026-01-01 00:15:00,database,51.47,68.65,37.83,682.64,633.98,94.94,0.21,68.88,0,normal
2026-01-01 00:20:00,api-gateway,41.63,52.08,59.63,612.73,576.39,140.68,0.16,29.88,0,normal
2026-01-01 00:20:00,user-service,25.53,50.44,47.6,379.22,360.32,100.71,0.24,29.89,0,normal
2026-01-01 00:20:00,payment-service,49.81,59.21,39.29,576.87,490.46,191.21,0.16,48.88,0,normal
2026-01-01 00:20:00,notification-service,23.5,47.22,46.58,268.44,289.65,99.96,0.25,24.57,0,normal
2026-01-01 00:20:00,database,44.02,65.52,50.58,817.99,710.7,98.07,0.21,64.46,0,normal
2026-01-01 00:25:00,api-gateway,42.49,58.2,43.96,650.33,578.57,123.27,0.25,30.57,0,normal
2026-01-01 00:25:00,user-service,44.41,51.71,46.85,344.82,362.88,125.87,0.23,35.12,0,normal
2026-01-01 00:25:00,payment-service,44.66,57.43,53.57,535.33,516.56,164.36,0.11,45.78,0,normal
2026-01-01 00:25:00,notification-service,28.36,45.19,42.7,222.04,270.56,92.75,0.23,19.62,0,normal
2026-01-01 00:25:00,database,58.56,70.53,54.42,660.48,710.82,107.85,0.2,69.59,0,normal
2026-01-01 00:30:00,api-gateway,42.41,52.62,38.0,517.73,600.22,132.19,0.24,28.18,0,normal
2026-01-01 00:30:00,user-service,30.27,45.16,66.51,356.9,341.64,123.12,0.22,35.63,0,normal
2026-01-01 00:30:00,payment-service,42.06,63.8,40.73,435.36,436.82,155.4,0.24,47.57,0,normal
2026-01-01 00:30:00,notification-service,18.82,44.68,63.23,228.1,278.81,83.99,0.28,18.07,0,normal
2026-01-01 00:30:00,database,43.26,68.49,51.99,625.84,772.06,95.54,0.22,64.78,0,normal
2026-01-01 00:35:00,api-gateway,41.59,55.38,71.11,613.99,602.99,114.43,0.17,30.54,0,normal
2026-01-01 00:35:00,user-service,31.35,50.84,44.11,293.33,346.21,107.62,0.18,31.3,0,normal
2026-01-01 00:35:00,payment-service,47.81,64.36,58.77,452.68,519.74,168.47,0.17,49.17,0,normal
2026-01-01 00:35:00,notification-service,26.44,44.94,55.47,337.23,294.95,105.92,0.17,26.21,0,normal
2026-01-01 00:35:00,database,55.21,63.68,59.31,779.98,689.89,89.72,0.2,67.68,0,normal
2026-01-01 00:40:00,api-gateway,37.76,55.97,41.82,606.04,660.69,133.38,0.23,27.63,0,normal
2026-01-01 00:40:00,user-service,33.82,46.41,49.91,410.28,402.31,123.8,0.17,35.05,0,normal
2026-01-01 00:40:00,payment-service,43.41,57.52,41.78,436.94,524.13,161.76,0.17,48.73,0,normal
2026-01-01 00:40:00,notification-service,22.27,45.61,45.23,335.84,284.87,109.83,0.26,24.74,0,normal
